568,11,Flop,Average,Hit,SuperHit,BlockBuster,,,,,
260,650422,111841,203,413,92620000,8.3,12000,8,666,933,3
157,400176459,215340,1862,706,4000000,8.2,16000,7.7,995,1284,4
213,33754967,291875,2509,533,2777000,8.1,14000,7.4,1689,1622,3
242,10462500,387508,3442,1123,878000,8.6,23000,7.9,1462,3221,3
206,9644124,275720,1844,706,3180000,8.6,41000,8,1103,1975,2
54,30000000,9808,1373,90,8250000,7.2,1000,7,64,1266,1
153,8000000,80193,2496,333,730000,8.1,3000,7.6,343,2166,2
74,8500000,11047,683,116,1250000,7.1,1000,6.7,84,679,2
377,84785914,301279,36928,589,65000000,7.7,12000,7.3,2080,57495,2
232,20710513,90827,332,329,160000,7.9,26000,7.4,457,423,2
350,392616625,348010,44061,1535,37000000,5.2,19000,5.8,3688,39308,3
470,786636033,333847,14959,2054,185000000,6.2,5000,5.7,2558,27000,3
137,6673422,23767,71973,111,25000000,5.7,845,5.2,128,57272,0
345,160388063,208422,3632,342,85000000,7,3000,6.5,1555,3329,3
128,50650079,31645,1865,109,60000000,4.9,792,5.2,381,1617,0
645,1004558444,1676169,57802,4667,185000000,9,37000,8.3,12269,69000,4
366,269958228,561773,17347,871,33000000,8.2,28000,7.8,3181,32799,4
67,7400000,8087,1003,33,40000000,7.1,1000,6.5,53,1058,1
486,585174222,696338,39252,1055,140000000,7.9,10000,7.4,8951,41000,3
266,631744560,307029,12754,360,130000000,7.6,6000,6.9,3231,12583,3
238,609841637,145974,26002,611,52000000,6.3,10000,6.4,1435,25896,3
309,226830568,483756,16461,974,25000000,7.9,29000,7.2,4444,15481,3
324,54586584,136673,13189,281,20000000,7.6,10000,7.1,628,13486,2
362,333932083,459346,13333,822,150000000,7.8,23000,7.3,3398,33919,3
180,244082376,116681,4811,320,60000000,7.1,11000,6.9,1392,3627,3
225,2260712,84817,27507,145,230000,7.1,22000,6.9,756,27307,2
418,377910544,641997,820,1017,15000000,8,13000,7.6,2918,764,3
421,521311860,718837,2975,1043,180000000,8.4,16000,7.8,6439,2726,4
42,6230276,11011,4484,78,7000000,4.6,422,4.8,48,2664,0
33,132900000,20567,1609,36,97250400,5.1,291,5,486,1353,1
275,96408652,198111,19894,365,15000000,7.2,14000,6.7,1050,30833,3
202,168167691,232710,14727,599,55000000,7.7,26000,7.5,2092,13960,3
300,34533783,307639,173,513,15000000,8,32000,7.4,1414,607,2
264,113020255,199056,12840,387,55000000,7.8,14000,7.3,1151,28502,3
486,319131050,885175,36741,1527,70000000,8.3,42000,7.9,6598,51000,4
310,124596398,143121,647,279,60000000,7.7,10000,7.3,1432,848,3
408,735099082,665575,2635,704,175000000,8.3,27000,7.8,7048,2110,4
82,57881056,16580,3423,55,45000000,5.4,916,5.3,254,2267,1
228,267045765,89351,2480,214,105000000,7.1,5000,6.7,1293,2018,3
262,33965843,131831,1044,231,2000000,8.2,33000,7.8,638,1160,3
415,524028679,477300,23996,621,90000000,7.6,20000,7,5883,22706,3
300,31556061,92712,24805,294,16000000,5.1,6000,5.3,858,24712,1
331,60722734,376600,54075,494,7500000,7.7,40000,7.2,2993,51464,3
375,933959197,321795,58753,973,250000000,7.5,10000,7.4,5435,46282,3
334,459270619,583341,17623,626,35000000,7.8,24000,7.2,6324,16025,3
214,101229792,114925,568,234,39000000,7.1,13000,6.7,815,518,3
445,102391382,386217,28011,553,23600000,7.7,26000,7.2,3655,28192,2
308,93525586,125114,2369,593,65000000,6.7,16000,6.6,1101,1742,3
355,27635305,177401,23566,504,32000000,7.3,32000,6.8,1113,22214,3
219,20645327,121432,14127,310,33000000,6.8,10000,6.5,783,14083,2
107,443140005,31649,5227,98,75000000,4.5,2000,5.3,688,3084,2
451,185258983,392474,2530,1229,130000000,7.7,18000,7,2892,2144,3
518,385680446,504419,39284,1559,150000000,8,19000,7.4,4574,52981,3
472,210819611,531737,2639,1262,30000000,8,22000,7.3,3451,3202,3
263,48428063,111117,1594,245,30000000,7.1,13000,6.6,1291,1506,2
183,42333295,63108,15251,330,10000000,5.9,15000,5.8,451,14837,2
415,9760104,260607,19404,485,5000000,7.9,47000,7.6,1831,18944,2
185,413106170,130272,54039,209,150000000,5.9,2000,5.9,2026,53189,3
397,90810892,158354,5642,691,30000000,6.6,11000,6.2,995,3828,2
160,22852638,56338,41359,215,14000000,6.5,4000,6.2,355,40813,2
197,29536299,52852,6317,138,17000000,6.7,4000,6.2,296,5432,2
230,16633035,55665,2633,118,15000000,6.9,10000,6.7,366,2310,2
216,126690726,217480,22517,429,53000000,7.4,21000,7.2,1522,20436,3
367,769653595,283418,2144,1055,200000000,5.8,13000,5.6,4994,2554,3
55,5837674,6263,1059,33,23000000,6.9,765,6.5,58,821,1
299,709827462,220758,64040,919,50000000,4.6,13000,5.6,2518,50129,3
261,309208309,223127,3389,420,29000000,7.7,38000,7.2,1626,2228,3
333,100086793,87677,1738,388,100000000,6.8,11000,6.4,580,1672,1
723,2787965087,886204,4834,3054,237000000,7.9,33000,7.2,12114,2791,4
493,252276927,240962,25964,724,38000000,7.7,36000,7.2,1701,26538,3
233,321887208,172754,46120,187,130000000,7.3,13000,6.7,1968,43096,3
179,271430189,181443,28497,311,80000000,6,12000,6,1746,27221,3
316,167805466,149947,25780,326,100000000,6.8,18000,6.3,1193,34000,2
304,543513985,385943,11608,296,69000000,7.7,31000,7.1,6595,10250,3
378,154026136,280228,14296,420,37000000,7.6,29000,7,1516,14206,3
188,140073390,65785,4286,160,80000000,7,16000,6.5,715,3230,3
445,97009150,202800,3030,752,1500000,6.8,60000,6.8,1775,2058,3
265,170432927,189806,20233,316,100000000,6.7,16000,6.1,1406,20392,2
307,211780824,272789,23018,285,65000000,6.6,25000,6.2,1737,22531,2
210,42345360,69759,8532,235,12000000,8,27000,7.7,237,8568,2
280,318502923,118951,2857,1382,150000000,4.2,18000,4.7,1180,2102,2
556,224920315,479453,10555,696,40000000,7.7,74000,7.1,3492,31430,3
225,572809,56402,2423,209,2000000,6.3,17000,6.3,537,1522,1
87,1755212,60460,4377,104,14000000,7.7,14000,7.4,426,2639,1
324,591794936,294810,2036,387,260000000,7.8,29000,7.4,3419,1651,3
469,400062763,264186,25549,665,170000000,6.8,30000,6.3,2895,23364,3
669,327803731,551363,38072,1140,13000000,8,106000,7.3,4562,36000,3
235,215283742,124185,13388,238,150000000,6.1,11000,5.9,1526,13014,2
262,74952305,276746,16982,264,8000000,7.1,19000,6.7,2282,16511,3
246,4270000,55982,1269,148,967686,7.3,17000,7.1,428,954,2
377,16566240,141425,35941,283,3500000,7.4,25000,6.9,911,35926,2
424,274470394,270226,46355,741,80000000,6.5,57000,6,2977,57000,3
390,24145613,92237,20258,366,20000000,7.2,25000,6.7,656,19082,2
171,7871522,55382,13145,129,2000000,8.3,63000,7.7,287,13260,2
453,623933331,522371,48638,723,200000000,7,18000,6.6,6969,48000,3
450,35692920,279179,11984,440,18000000,7.6,63000,7,2668,11865,2
293,698491347,184637,52547,498,68000000,4.9,29000,5.9,2382,48171,3
642,825532764,1468200,81115,2803,160000000,8.8,175000,8.1,14075,101000,4
451,1025491110,306336,79957,736,200000000,6.5,24000,6.4,4773,89000,3
325,157107755,227072,44797,560,80000000,6.9,20000,6.6,2207,43117,3
297,134748021,84118,1579,245,70000000,6.3,13000,5.8,504,1512,2
343,310669540,211765,3244,546,200000000,6.7,17000,6.2,1434,2511,2
306,335154643,222403,16149,453,150000000,6.6,23000,6.2,2372,15982,3
410,93617009,275869,23811,389,25000000,7.9,36000,7.2,1512,24116,3
288,494878759,485430,20453,492,165000000,8.2,33000,7.5,4319,19967,3
453,1066969703,544884,19085,733,200000000,8.3,30000,7.6,4710,16846,3
321,278731369,176606,55175,374,100000000,6,25000,6,1744,54207,3
315,71664962,238916,24928,328,58000000,7.1,32000,6.6,2858,24481,2
178,136150434,67978,1978,279,20000000,5.6,12000,5.8,758,1419,2
283,261930431,148280,12731,348,117000000,6.3,11000,5.9,1583,12296,2
213,204594016,63493,20440,302,60000000,5.7,26000,5.8,655,20453,2
239,51148651,146364,11799,237,30000000,7.4,27000,6.9,927,11688,2
479,414211549,503631,15732,636,15000000,8,64000,7.6,2817,15520,3
490,294804195,786092,29585,964,80000000,8.1,53000,7.8,6559,46386,4
393,47664559,273921,12687,522,60000000,7.5,36000,7.2,2185,12719,2
265,64572262,139184,1272,243,36000000,6.4,12000,5.9,911,1242,2
447,96188903,435864,2357,801,28000000,7.7,36000,7.1,4747,2331,3
228,415686217,106446,764,227,155000000,6.3,11000,6.2,1555,822,3
344,232713139,229687,18003,637,125000000,5.8,15000,5.6,2280,16105,2
486,17693675,145395,15230,375,6500000,7.3,23000,7,897,14624,2
252,51070807,117999,27834,181,40000000,6.6,16000,6.3,1066,27471,2
317,23057115,332276,29692,514,25000000,8.2,77000,7.7,1297,28528,2
108,7448385,34809,2085,125,41000000,6.2,11000,5.6,252,1668,1
284,665692281,182718,21015,209,150000000,7.3,20000,6.7,1925,21105,3
576,133432856,190030,4606,583,15000000,8,30000,7.3,1075,2926,3
539,260095987,287822,3388,849,50000000,7.1,37000,6.6,2496,15977,3
161,35387212,55008,2462,93,19000000,6.3,21000,6,335,2036,2
408,77278331,203111,16606,755,25000000,6.8,32000,6.4,1476,15772,2
398,165184237,75176,1336,252,45000000,7.1,26000,6.5,509,1178,3
481,4105187,148221,1445,316,1100000,7.6,51000,7.3,1076,1740,2
152,160078586,89568,661,142,45000000,6.3,17000,6,1026,496,2
221,59389433,106111,17627,181,15000000,7,49000,7,1006,16450,3
382,334615000,338635,22403,412,125000000,7.5,39000,7,3971,22133,3
584,54674226,136367,13021,975,32000000,6.7,39000,6.5,1009,12687,2
257,120081841,111003,36873,199,50000000,7.1,22000,6.5,928,33488,3
419,110206216,283563,53094,312,50000000,7.6,27000,7,1409,51152,3
392,84606030,102728,36258,279,35000000,6.6,16000,6,766,51363,2
291,89162162,91151,15369,283,42000000,5.4,20000,5.7,958,13221,2
435,89792502,197584,7067,918,82000000,6.1,42000,5.9,1661,6826,2
327,299268508,254841,22254,426,110000000,7.1,36000,6.6,2749,21662,3
189,187361754,67191,2820,108,55000000,6,14000,5.7,775,2116,2
549,177243185,205284,9578,439,20000000,7.3,22000,6.7,956,10008,3
360,173930596,304318,34011,463,40000000,6.7,52000,6.7,3512,33487,3
251,205703818,76828,2371,314,5000000,5.8,24000,5.9,685,1477,3
304,559852396,101178,4482,283,200000000,6.3,10000,5.8,2088,3182,3
510,370569774,508818,19761,679,140000000,6.9,46000,6.6,7174,16394,3
362,245724603,183208,43291,337,135000000,7.2,26000,6.6,2094,42502,3
448,1045713802,370704,54083,484,380000000,6.7,58000,6.4,5068,52252,3
676,78054825,431578,34337,1264,15000000,7.8,81000,7.4,3832,33973,3
261,19560274,64794,3569,131,6000000,7.3,17000,6.8,378,3561,2
288,15395087,34488,2452,136,30000000,6.9,15000,6.3,291,2616,1
238,150483765,270228,20956,194,35000000,6.6,41000,6.5,2306,19010,3
345,27462041,80617,23755,190,15000000,6.5,36000,6.2,589,23691,2
420,97138686,104119,4486,518,40000000,6.2,26000,6.1,930,3428,2
